,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
124,Garam Masala Nisarga 100 Gms,storese,Grocery & Staples,100,gm,40,32,20
125,Till White Organic Town 100 Gms,storese,Grocery & Staples,100,gm,36,32,11.11
126,Ragi Flour 24 Carat Town 500gms,storese,Grocery & Staples,500,gm,35,32,8.57
127,Karamani 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,36,32,11.11
128,Gram Flour 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,35,32,8.57
129,Peas White 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,35,32,8.57
130,Til White Town 100 Gms,storese,Grocery & Staples,100,gm,36,32,11.11
131,Chilli Powder Eastern 100Gms,storese,Grocery & Staples,100,gm,35,33,5.71
132,Papad Rice Town 100 Gms,storese,Grocery & Staples,100,gm,43,34,20.93
133,Green Moong Staff Town 250 Gms,storese,Grocery & Staples,250,gm,39,35,10.26
134,Sprinklers Black Salt Catch 200Gms,storese,Grocery & Staples,200,gm,37,35,5.41
135,Jaggery Liquid Town 250 Gms,storese,Grocery & Staples,250,gm,45,36,20
136,Coriander Powder Town 100 Gms,storese,Grocery & Staples,100,gm,40,36,10
137,Karamani White 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,40,36,10
138,Moong Green 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,40,36,10
139,Guntur Chilly 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,40,36,10
140,Vermicelli Town 500 Gms,storese,Grocery & Staples,500,gm,46,37,19.57
141,Groundnut staff Town 250 Gms,storese,Grocery & Staples,250,gm,41,37,9.76
142,Til Nylon Town 100 Gms,storese,Grocery & Staples,100,gm,41,37,9.76
143,Ajwain Seeds (Omam) Town 50 Gms,storese,Grocery & Staples,50,gm,41,37,9.76
144,Vermicelli Rice Sevai MTR 400Gms,storese,Grocery & Staples,400,gm,40,38,5
145,Vermicelli Seviyan MTR 400 Gms,storese,Grocery & Staples,400,gm,40,38,5
146,Fresh Sprouts Green Moong Town 200 g,storese,Grocery & Staples,200,gm,48,38,20.83
147,Avalakki (Poha) Medium Town 500gms,storese,Grocery & Staples,500,gm,43,39,9.3
148,Avalakki (Poha) Thick Town 500 Gms,storese,Grocery & Staples,500,gm,43,39,9.3
149,Groundnut 18 Carat Town 250gms,storese,Grocery & Staples,250,gm,44,40,9.09
150,Groundnut Nati Town 250 Gms,storese,Grocery & Staples,250,gm,44,40,9.09
151,Jaggery Round Staff Town 500 Gms,storese,Grocery & Staples,500,gm,46,41,10.87
152,Chakki atta Staff Town 1kg,storese,Grocery & Staples,1,kg,46,41,10.87
153,Rajma White Town 250 Gms,storese,Grocery & Staples,250,gm,45,41,8.89
154,Moong Chilka Town 250 Gms,storese,Grocery & Staples,250,gm,45,41,8.89
155,Groundnut 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,45,41,8.89
156,Chutney Powder Groundnut Town 100 Gms,storese,Grocery & Staples,100,gm,52,42,19.23
157,Vermicelli Roasted Anil 450 Gms,storese,Grocery & Staples,450,gm,45,43,4.44
158,Gram Flour Organic Town 250 Gms,storese,Grocery & Staples,250,gm,48,43,10.42
159,Moong Dal 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,48,43,10.42
160,Black Salt Powder Town 200 Gms,storese,Grocery & Staples,200,gm,45,43,4.44
161,Ginger Garlic Paste Homemade Dabur 200Gms,storese,Grocery & Staples,200,gm,46,44,4.35
