Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
Slim & Trim 300 Ml - Ausum Tea,simplinamdharis,Beverages,300.0,ml,70.0,70.0,0.0
Protien +Soy Milk Original  - So Good,simplinamdharis,Beverages,1.0,ltr,145.0,145.0,0.0
Kings Coffee Original Super Smooth 280Ml,simplinamdharis,Beverages,280.0,ml,139.0,139.0,0.0
Raw C P Juice Pomegranate 100% 250Ml - Raw Pressery,simplinamdharis,Beverages,250.0,ml,150.0,150.0,0.0
Coffee Speciality Blend 200Gm - Cothas,simplinamdharis,Beverages,200.0,gm,94.0,94.0,0.0
Lychee Juice With Pulp 250Ml - Vinut,simplinamdharis,Beverages,250.0,ml,40.0,40.0,0.0
Grape  300Ml - Kokozo,simplinamdharis,Beverages,300.0,ml,50.0,50.0,0.0
Coffee Sprinkles Toffee Nut Crunch Pack Of 5 - Snapin,simplinamdharis,Beverages,1.0,unit(s),99.0,99.0,0.0
Nescafe 50G Sachet,simplinamdharis,Beverages,50.0,gm,150.0,150.0,0.0
Sericha Lemon Ginger Tea Bags 30S,simplinamdharis,Beverages,30.0,unit(s),300.0,300.0,0.0
Arya Protein Energy Drink  300G,simplinamdharis,Beverages,300.0,gm,249.0,249.0,0.0
Masala Nimbu Pani 100% Natural No Added Sugar 200 Ml - Smoodies,simplinamdharis,Beverages,200.0,ml,50.0,50.0,0.0
Brooke Bond 3 Roses Natural Care 250G,simplinamdharis,Beverages,250.0,gm,170.0,170.0,0.0
Litchi Juice - Tropicana,simplinamdharis,Beverages,200.0,ml,20.0,20.0,0.0
Litchi Juice - Tropicana,simplinamdharis,Beverages,1.0,ltr,115.0,115.0,0.0
Lemon Flavour - Twinings,simplinamdharis,Beverages,25.0,unit(s),285.0,285.0,0.0
Earlgrey - Twinings,simplinamdharis,Beverages,25.0,unit(s),285.0,285.0,0.0
Strawberry Juice With Pulp 250Ml - Vinut,simplinamdharis,Beverages,250.0,ml,40.0,40.0,0.0
Dabur Glucose D  250 G,simplinamdharis,Beverages,250.0,gm,58.0,58.0,0.0
Alo Frut Kiwi Juice 300 Ml,simplinamdharis,Beverages,300.0,ml,40.0,40.0,0.0
Mogu Mogu Grape Juice 320Ml,simplinamdharis,Beverages,320.0,ml,60.0,60.0,0.0
Orange Juice With Pulp 250Ml - Vinut,simplinamdharis,Beverages,250.0,ml,40.0,40.0,0.0
Cleanse Tea Bags 25'S - Organic India,simplinamdharis,Beverages,25.0,unit(s),154.0,154.0,0.0
Pomegranate Juice - Tropicana,simplinamdharis,Beverages,1.0,ltr,110.0,110.0,0.0
Sparkling Pine Apple 750Ml - May Juice,simplinamdharis,Beverages,750.0,ml,350.0,350.0,0.0
Raw Pressery Life 250Ml,simplinamdharis,Beverages,250.0,ml,150.0,150.0,0.0
Smoodies - Chilli Guava 200 Ml,simplinamdharis,Beverages,200.0,ml,70.0,70.0,0.0
Strawberry 1 Ltr - Mogu Mogu,simplinamdharis,Beverages,1.0,ltr,175.0,175.0,0.0
Grape 1 Ltr - Mogu Mogu,simplinamdharis,Beverages,1.0,ltr,175.0,175.0,0.0
Classic Mountain 200Gms,simplinamdharis,Beverages,200.0,gm,290.0,290.0,0.0
Singnature Filter Coffee (25 Stick) 50 Gm - Tgl.Co,simplinamdharis,Beverages,50.0,gm,229.0,229.0,0.0
Organic India Lemon Ginger 18 Tea Bags,simplinamdharis,Beverages,18.0,unit(s),174.0,174.0,0.0
Organic India Tulsi Chai Masala 25Bags,simplinamdharis,Beverages,25.0,unit(s),174.0,174.0,0.0
Organic India Tulsi 100G Zip,simplinamdharis,Beverages,100.0,gm,140.0,140.0,0.0
Organic India Tulsi Tea 25 Tb,simplinamdharis,Beverages,25.0,unit(s),148.0,148.0,0.0
Paper Boat Apple 1Ltr,simplinamdharis,Beverages,1.0,ltr,110.0,99.0,10.0
Natural Care Tea 500Gm - Red Label,simplinamdharis,Beverages,500.0,gm,270.0,270.0,0.0
Kings Coffee Vanilla Super Smooth 280Ml,simplinamdharis,Beverages,280.0,ml,139.0,139.0,0.0
Raw Pressery Sugarcane 250 Ml,simplinamdharis,Beverages,250.0,ml,80.0,80.0,0.0
Smoodies - I Heart Strawberry 200 Ml,simplinamdharis,Beverages,200.0,ml,80.0,80.0,0.0
Nescafe Sunrise Premium 200G,simplinamdharis,Beverages,200.0,gm,350.0,350.0,0.0
Bru Instant Coffee 100G,simplinamdharis,Beverages,100.0,gm,180.0,180.0,0.0
Sericha Lemon Ginger Tea Bags 10S,simplinamdharis,Beverages,10.0,unit(s),120.0,120.0,0.0
Emerald Green 14 Tb - The Hillcart Tales,simplinamdharis,Beverages,14.0,unit(s),240.0,240.0,0.0
Carbonated Water 330Ml - Perrier,simplinamdharis,Beverages,330.0,ml,145.0,145.0,0.0
Smoodies Jhakaas Jamun 340 Gm,simplinamdharis,Beverages,340.0,ml,100.0,100.0,0.0
Smoodies - Litchi Lachak 200Ml,simplinamdharis,Beverages,200.0,ml,100.0,100.0,0.0
Smoodies - Peppy Peach 200Ml,simplinamdharis,Beverages,200.0,ml,100.0,100.0,0.0
Go Grains 200Gm - Manna,simplinamdharis,Beverages,200.0,gm,139.0,139.0,0.0
Paper Boat Aamras 250Ml,simplinamdharis,Beverages,250.0,ml,30.0,30.0,0.0
Mogu Mogu Orange Juice 320Ml,simplinamdharis,Beverages,320.0,ml,60.0,60.0,0.0
De-Stress 300 Ml - Ausum Tea,simplinamdharis,Beverages,300.0,ml,70.0,70.0,0.0
Organic India Tulsi Green Tea 25 Tb,simplinamdharis,Beverages,25.0,unit(s),174.0,174.0,0.0
Orange Juice 200Ml - Swee10,simplinamdharis,Beverages,200.0,ml,40.0,40.0,0.0
Ginger Tea 100G (Tin) - Organic India,simplinamdharis,Beverages,100.0,gm,190.0,190.0,0.0
Spice Carnival 100Gm - The Hillcart Tales,simplinamdharis,Beverages,100.0,gm,675.0,675.0,0.0
Sparkling Strawbery 750Ml - May Juice,simplinamdharis,Beverages,750.0,ml,350.0,350.0,0.0
Ocean Fruit Water Peach & Passion Fruit 500Ml,simplinamdharis,Beverages,500.0,ml,50.0,50.0,0.0
Horlicks Health Drink Classic Malt 750Gm,simplinamdharis,Beverages,750.0,gm,330.0,330.0,0.0
Tulsi Tea100Gm(Tin) - Organic India,simplinamdharis,Beverages,100.0,gm,190.0,190.0,0.0
Psylium Husk Can 100Gm - Organic India,simplinamdharis,Beverages,100.0,gm,195.0,195.0,0.0
Brahmi Tea Bags 25'S - Organic India,simplinamdharis,Beverages,25.0,unit(s),154.0,154.0,0.0
Darjeeling Muscatel 14 Tb - The Hillcart Tales,simplinamdharis,Beverages,1.0,unit(s),240.0,240.0,0.0
Organic Vegan Peach Juice 1Ltr - Hollinger,simplinamdharis,Beverages,1.0,ltr,495.0,495.0,0.0
Paper Baot Alphonso 1Ltr - Paper Boat,simplinamdharis,Beverages,1.0,ltr,110.0,93.5,15.0
