,Product_Category,Product_Name,Regular_Price,Sale_Price
143,grocery-and-staples,Ajwain Seeds (Omam) Town 50 Gms,41,37
144,grocery-and-staples,Vermicelli Rice Sevai MTR 400Gms,40,38
145,grocery-and-staples,Vermicelli Seviyan MTR 400 Gms,40,38
146,grocery-and-staples,Fresh Sprouts Green Moong Town 200 g,48,38
147,grocery-and-staples,Avalakki (Poha) Medium Town 500gms,43,39
148,grocery-and-staples,Avalakki (Poha) Thick Town 500 Gms,43,39
149,grocery-and-staples,Groundnut 18 Carat Town 250gms,44,40
150,grocery-and-staples,Groundnut Nati Town 250 Gms,44,40
151,grocery-and-staples,Jaggery Round Staff Town 500 Gms,46,41
152,grocery-and-staples,Chakki atta Staff Town 1kg,46,41
153,grocery-and-staples,Rajma White Town 250 Gms,45,41
154,grocery-and-staples,Moong Chilka Town 250 Gms,45,41
155,grocery-and-staples,Groundnut 24 Carat Town 250 Gms,45,41
156,grocery-and-staples,Chutney Powder Groundnut Town 100 Gms,52,42
157,grocery-and-staples,Vermicelli Roasted Anil 450 Gms,45,43
158,grocery-and-staples,Gram Flour Organic Town 250 Gms,48,43
159,grocery-and-staples,Moong Dal 24 Carat Town 250 Gms,48,43
160,grocery-and-staples,Black Salt Powder Town 200 Gms,45,43
161,grocery-and-staples,Ginger Garlic Paste Homemade Dabur 200Gms,46,44
162,grocery-and-staples,Peanut 65 Town 100 Gms,50,45
163,grocery-and-staples,Grapes Dry 18 Carat Town 100 Gms,50,45
164,grocery-and-staples,Pepper Staff Town 50 Gms,50,45
165,grocery-and-staples,Pasta Spiral Town-500 gms,50,45
166,grocery-and-staples,Potato Papad Round Wavy Town 200gms,50,45
167,grocery-and-staples,Moong Chilka Organic Town 250 Gms,50,45
168,grocery-and-staples,Moong Green Organic Town 250 Gms,50,45
169,grocery-and-staples,Kalo Jeere Town 100 Gms,50,45
170,grocery-and-staples,Masoor Malka Whole Organic Town 250 Gms,50,45
171,grocery-and-staples,Rasam Powder MTR 100 Gms,48,46
172,grocery-and-staples,Kabuli Channa 24 Carat Town 250gms,51,46
173,grocery-and-staples,Avalakki White Pesticides Free Town 500 Gms,52,47
174,grocery-and-staples,Green Peas Organic Town 500 Gms,53,48
175,grocery-and-staples,Chakki Atta 18 Carat Town 1 Kg,53,48
176,grocery-and-staples,Grapes Dry 24carat Town 100 gms,54,49
177,grocery-and-staples,Chakki Atta 24 Carat Town 1 Kg,55,50
178,grocery-and-staples,Horse Gram 24 Carat Town 500 Gms,56,50
179,grocery-and-staples,Jeera Black Town 100 Gms,55,50
180,grocery-and-staples,Rajma Red 18 Carat Town 250 Gms,55,50
181,grocery-and-staples,Nutmeg (Jakai) Town 25 Gms,55,50
182,grocery-and-staples,Vangibath Powder 100gms-Town,65,52
183,grocery-and-staples,Jaggery Round 18 Carat Town 500 Gms,58,52
184,grocery-and-staples,Rajma Red 24 Carat Town 250 Gms,58,52
185,grocery-and-staples,Jeera 24 Carat Town 100 Gms,58,52
186,grocery-and-staples,Koora Kaaram (Curry Chilli) Powder Prasastha 200 Gms,55,52
187,grocery-and-staples,Chicken Masala Powder Aachi 100 Gms,55,52
188,grocery-and-staples,Grapes Dry Premium Town 100 gms,60,54
189,grocery-and-staples,Black Til Town 100 Gms,61,55
190,grocery-and-staples,Papad Urad Plain Lijjat 200Gms,60,57
191,grocery-and-staples,Sambar Powder Organic Avadata 100Gms,60,57
192,grocery-and-staples,Soya Flour Town 250 Gms,60,57
193,grocery-and-staples,Tomato Vermicelli Desi Mealz 70Gms,60,57
194,grocery-and-staples,Sweet Corn ( Cream Style) Morton 400 g,60,57
195,grocery-and-staples,Ragi Flour 24 CaratTown 1Kg,64,58
196,grocery-and-staples,Urad Black Whole Organic Town 250 Gms,64,58
197,grocery-and-staples,Chilly Kashmiri Town 100 Gms,64,58
198,grocery-and-staples,Cinnamon (Chakke) 18 Carat Town 50 Gms,64,58
199,grocery-and-staples,Chutney Powder Groundnut Garlic Town 100G,74,59
200,grocery-and-staples,Jaggery Round 24 Carat Town 500 Gms,66,59
201,grocery-and-staples,Wheat 24 Carat Town 1 Kg,66,59
202,grocery-and-staples,Avare Bele Organic Town 250 Gms,65,59
203,grocery-and-staples,Coriander Seeds 24 Carat Town 250 Gms,66,59
204,grocery-and-staples,Cumin Seeds Organic Town 100 g,65,59
205,grocery-and-staples,Sprinklers Chat Masala Catch 100Gms,62,59
206,grocery-and-staples,Chana Masala Catch 100Gms,62,59
207,grocery-and-staples,Rasam Powder Tamilnadu Style Town 100 Gms,78,62
208,grocery-and-staples,Chiroti Sooji Town 1 Kg,69,62
209,grocery-and-staples,Ragi 24 Carat Town 1 Kg,69,62
210,grocery-and-staples,Avare Kalu 18 Carat Town 250 Gms,71,64
211,grocery-and-staples,Jaggery Powder Pesticides Free Town 500 Gms,71,64
212,grocery-and-staples,Avare Bele 18 Carat Town 250 Gms,71,64
213,grocery-and-staples,Millet Proso Flour Organic Pristine 500Gms,72,65
214,grocery-and-staples,Papad Urad 3 inches Town 250 Gms,73,66
215,grocery-and-staples,Papad Urad 4 inches Town 250 Gms,73,66
216,grocery-and-staples,Rasam Powder Organic Avadata 100Gms,70,67
217,grocery-and-staples,Urad Gola Whole 24 Carat Town 500 Gms,74,67
218,grocery-and-staples,Avare Kalu 24 Carat Town 250 Gms,74,67
219,grocery-and-staples,Ragi Flour Organic Town 500 Gms,74,67
220,grocery-and-staples,Urad Black Chilka Town 500 Gms,74,67
221,grocery-and-staples,Meat Masala Catch 100Gms,70,67
222,grocery-and-staples,Avare Bele 24 Carat Town 250 Gms,75,68
223,grocery-and-staples,Millet Kodo Unpolished (Harka -Varagu) Town 500Gms,75,68
224,grocery-and-staples,Pearl millet (Sajje) Town 1 Kg,75,68
225,grocery-and-staples,Tandoori Chicken Masala Powder Everest 100 Gms,72,68
226,grocery-and-staples,Chicken Masala Catch 100Gms,72,68
227,grocery-and-staples,Pickle Tomato Town 300 Gms,86,69
228,grocery-and-staples,Kashmiri Rajma Town 500 Gms,78,70
229,grocery-and-staples,Cloves 18 Carat Town 50 Gms,78,70
230,grocery-and-staples,Millet Kodo (Harka -Varagu) Town 500Gms,78,70
231,grocery-and-staples,Millet Barnyard (Odalu -Kudiraivali Rice) Town 500Gms,78,70
232,grocery-and-staples,Garam Masala Catch 100Gms,74,70
233,grocery-and-staples,Garam Masala MDH 100 Gms,74,70
234,grocery-and-staples,Avalakki (Poha) Medium Town 1 kg,79,71
235,grocery-and-staples,Cloves 24 Carat Town 50 Gms,80,72
236,grocery-and-staples,Sapota Medium Town 1 Kg- 048,99,75
237,grocery-and-staples,Toor Dal Organic Town 500 Gms,84,76
238,grocery-and-staples,Amchur Powder MDH 100 Gms,80,76
239,grocery-and-staples,Deepam Lamp Oil Vaamaa 500ml,80,76
240,grocery-and-staples,Garam Masala Organic Avadata 50Gms,80,76
241,grocery-and-staples,Fish Curry Mix Organic Avadata 100Gms,80,76
242,grocery-and-staples,White Pepper Whole Organic Avadata 50Gms,80,76
243,grocery-and-staples,Wheat Puffed Town 250 Gms,85,77
244,grocery-and-staples,Ragi  Organic Town 1 Kg,86,77
245,grocery-and-staples,Kasoori Methi MDH 100 Gms,84,80
246,grocery-and-staples,Jaggery kolhapur Town 1 kg,90,81
247,grocery-and-staples,Papad Masala Medium Town 200 Gms,90,81
248,grocery-and-staples,Meat Masala Town 100 Gms,103,82
249,grocery-and-staples,Channa Masala Town 100 Gms,103,82
250,grocery-and-staples,Grapes Dry Black Town 100 Gms,91,82
251,grocery-and-staples,Wheat Organic Town 1 Kg,91,82
252,grocery-and-staples,Pepper Powder White Pure Town 50 Gms,93,84
253,grocery-and-staples,Chilly Byadgi Staff Town 250g,94,85
254,grocery-and-staples,Guntur Chilly 24 Carat Town 250 Gms,94,85
255,grocery-and-staples,Mace (Japathari) Town 25 Gms,94,85
256,grocery-and-staples,Rice Red Boiled Town 1 Kg,94,85
257,grocery-and-staples,Chat  Masala Town 100 Gms,108,86
258,grocery-and-staples,Wheat Broken Town 1 Kg,95,86
259,grocery-and-staples,Jaggery natural Miltop 875Gms,95,86
260,grocery-and-staples,Sugar Breakfast Trust 1 kg,90,86
261,grocery-and-staples,Dates Dry Town 200 Gms,95,86
262,grocery-and-staples,Motor Dal Town 250 Gms,96,86
263,grocery-and-staples,Jaggery Square Town 500 Gms,95,86
264,grocery-and-staples,Mankut Chilly Town 250 Gms,95,86
265,grocery-and-staples,Rice Boiled Meals Town 1 Kg,95,86
266,grocery-and-staples,Badam Powder Town 200 Gms,110,88
267,grocery-and-staples,Rice Boiled Meals Kerala Town 1kg,98,88
268,grocery-and-staples,Rice Red Raw Town 1 Kg,98,88
269,grocery-and-staples,Rice Ponny Raw Town 1 Kg,100,90
270,grocery-and-staples,Beans White Town 500 Gms,101,91
271,grocery-and-staples,Moong daal Organic Town 500 Gms,103,93
272,grocery-and-staples,Papad Masala Big Town 250 Gms,103,93
273,grocery-and-staples,Black Pepper Powder (Pure) Town 50 Gms,103,93
274,grocery-and-staples,Bisibelebath Powder Organic Avadata 100Gms,100,95
275,grocery-and-staples,Chutney Powder Organic Avadata 100Gms,100,95
276,grocery-and-staples,Puliogare Gojju Organic Avadata 200Gms,100,95
277,grocery-and-staples,Gram Dal 24 Carat Town 1 Kg,108,97
278,grocery-and-staples,Pepper Powder White Organic Town 50 g,108,97
279,grocery-and-staples,Urad Whole White (Gola) Organic Town 500 Gms,108,97
280,grocery-and-staples,Urad Black Split (Chilka) Organic Town 500 Gms,108,97
281,grocery-and-staples,Sambhar Powder Town 250 Gms,124,99
282,grocery-and-staples,Garam Masala Town 100 Gms,124,99
283,grocery-and-staples,Rice Red Jolaga Organic Town 1 Kg,110,99
284,grocery-and-staples,Pepper 18 Carat Town 100 Gms,111,100
285,grocery-and-staples,Rice Bullet ( Colum ) Town 24 Crt 1 Kg,111,100
286,grocery-and-staples,Urad Dal Organic Town 500 Gms,111,100
287,grocery-and-staples,Rice Ponny Boiled Town 1 Kg,111,100
288,grocery-and-staples,Rice Red (Kari Jidda) Organic Town 1 Kg,111,100
289,grocery-and-staples,Rice Unpolished Rajmudi Organic Town 1 Kg,111,100
290,grocery-and-staples,Besan Flour Bombay Town 500 Gms,114,103
291,grocery-and-staples,Pepper 24 Carat Town 100 Gms,118,106
292,grocery-and-staples,Radhuni Town 100 Gms,119,107
293,grocery-and-staples,Dry Double Beans white Town 250g,119,107
294,grocery-and-staples,Byadgi Chilly  18 Carat Town 250 Gms,121,109
295,grocery-and-staples,Coriander Seeds 18 Carat Town 500 Gms,121,109
296,grocery-and-staples,Wheat (Jave Godhi-Barley) Town 500 Gms,121,109
297,grocery-and-staples,Kashmiri Rajma Town 1 Kg,123,111
298,grocery-and-staples,Sugar Town Organic 1 Kg,124,112
299,grocery-and-staples,Chicken Pepper Fry Organic Avadata 100Gms,120,114
300,grocery-and-staples,Drumstick Tea Future Organics 40 gms,120,114
301,grocery-and-staples,Fried Gram 18 Carat Town 1 Kg,128,115
302,grocery-and-staples,Rice Sona Masuri (Polish) Organic Town 1 Kg,128,115
303,grocery-and-staples,Sugar Free Gold ( 100 Sachets ) 100 g,125,119
304,grocery-and-staples,Liquid Jaggery Future Organics 280Gms,125,119
305,grocery-and-staples,Chintaku Podi (Tamarind Leaves Podi) Future Organics 100Gms,125,119
306,grocery-and-staples,Palm Sugar Future Organics 100 gms,125,119
307,grocery-and-staples,Curry Leaf Powder Future Organics 100 gms,125,119
308,grocery-and-staples,Nallanuvula Usiri Pudina Karam Future Organics 100 gms,125,119
309,grocery-and-staples,Rice Jeera Samba Town 1 Kg,134,121
310,grocery-and-staples,Avare Bele 18 Carat Town  500 Gms,136,122
311,grocery-and-staples,Jeera Shah Town 100 Gms,136,122
312,grocery-and-staples,Gobindo Bhog Town 1kg,141,127
313,grocery-and-staples,Green Moong 1kg-24 Crt,145,131
314,grocery-and-staples,Papaya Dry Town 100Gms,166,133
315,grocery-and-staples,Millet Barnyard Pesticides Free Town 1 Kg,148,133
316,grocery-and-staples,Moong Dal 18 Carat Town 1 Kg,148,133
317,grocery-and-staples,Coriander Powder Sparsh 500 Gms,140,133
318,grocery-and-staples,Sambar Powder Sparsh 500 Gms,140,133
319,grocery-and-staples,Sundrop Nutrilite Oil 1 Ltr,135,134
320,grocery-and-staples,Millet Foxtail Upma Rava Organic Town 1 Kg,149,134
321,grocery-and-staples,Gingelly Oil Town 1 Ltr (Deepam Purpose),152,136
322,grocery-and-staples,Cashewnut 2pc 18 Carat Town 100gms,151,136
323,grocery-and-staples,Pineapple Small Dry Town 100Gms,171,137
324,grocery-and-staples,Prunes Town 100 g,171,137
325,grocery-and-staples,Dried Kiwi Slices Town 100 g,145,138
326,grocery-and-staples,Black Currant Dry Town 100 g,145,138
327,grocery-and-staples,Dhania Powder MDH 500 Gms,145,138
328,grocery-and-staples,Lal Mirch Powder (Red Chilli Powder) MDH 500 Gms,145,138
329,grocery-and-staples,Coriander Powder MTR 500 Gms,145,138
330,grocery-and-staples,Haldi Powder (Turmeric Powder) MDH 500 Gms,145,138
331,grocery-and-staples,Badam Seeds 18 Carat Town 100 Gms,154,139
